name,group,default value,readonly,user_visible,notes,Range min,Range max,v2_user_visible (intent),v2_readonly (intent),changed_vs_v2
ATC_RAT_YAW_I,ATC,0.0365,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_IMAX,ATC,0.5,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_NEF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_NTF,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_P,ATC,0.365,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_PDMX,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_RAT_YAW_SMAX,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_SLEW_YAW,ATC,6000,False,True,"HARD CLAMPED 3000..7000 - out-of-range PARAM_SET rejected, stored value scrubbed at boot",3000,7000,False,False,user_visible False->True
ATC_THR_G_BOOST,ATC,0,True,True,,,,False,True,user_visible False->True
ATC_THR_MIX_MAN,ATC,0.1,True,True,,,,False,True,user_visible False->True
ATC_THR_MIX_MAX,ATC,0.5,True,True,,,,False,True,user_visible False->True
ATC_THR_MIX_MIN,ATC,0.1,True,True,,,,False,True,user_visible False->True
AUTOTUNE_AGGR,AUTOTUNE,0.075,True,True,,,,False,True,user_visible False->True
AUTOTUNE_AXES,AUTOTUNE,4,True,True,,,,False,True,user_visible False->True
AUTOTUNE_MIN_D,AUTOTUNE,0.0005,True,True,,,,False,True,user_visible False->True
AUTO_OPTIONS,AUTO,0,False,True,,,,True,False,
AUTO_RSM_CLIMB,AUTO,1,False,True,,,,True,False,
AUTO_TILT_DN,AUTO,-90,False,True,"HARD CLAMPED -90..0 - out-of-range PARAM_SET rejected, stored value scrubbed at boot",-90,0,True,False,
AUTO_TILT_EN,AUTO,1,False,True,"HARD CLAMPED 0..1 - out-of-range PARAM_SET rejected, stored value scrubbed at boot",0,1,True,False,
AUTO_TILT_UP,AUTO,0,False,True,"HARD CLAMPED -45..20 - out-of-range PARAM_SET rejected, stored value scrubbed at boot",-45,20,True,False,
AVD_ENABLE,AVD,0,True,False,"hidden (GOBJECT_HIDDEN group ""AVD_"")",,,False,True,
AVOID_ENABLE,AVOID,0,True,False,"hidden (GOBJECT_HIDDEN group ""AVOID_"")",,,False,True,
BARO1_DEVID,BARO,721442,True,True,,,,False,True,user_visible False->True
BARO1_GND_PRESS,BARO,98307.42,True,True,,,,False,True,user_visible False->True
BARO1_WCF_ENABLE,BARO,0,True,True,,,,False,True,user_visible False->True
BARO2_DEVID,BARO,721674,True,True,,,,False,True,user_visible False->True
BARO2_GND_PRESS,BARO,98251.39,True,True,,,,False,True,user_visible False->True
BARO2_WCF_ENABLE,BARO,0,True,True,,,,False,True,user_visible False->True
BARO3_DEVID,BARO,0,True,True,,,,False,True,user_visible False->True
BARO3_GND_PRESS,BARO,0,True,True,,,,False,True,user_visible False->True
BARO3_WCF_ENABLE,BARO,0,True,True,,,,False,True,user_visible False->True
BARO_ALTERR_MAX,BARO,2000,True,True,,,,False,True,user_visible False->True
BARO_ALT_OFFSET,BARO,0,True,True,,,,False,True,user_visible False->True
BARO_EXT_BUS,BARO,-1,True,True,,,,False,True,user_visible False->True
BARO_FIELD_ELV,BARO,0,True,True,,,,False,True,user_visible False->True
BARO_FLTR_RNG,BARO,0,True,True,,,,False,True,user_visible False->True
BARO_GND_TEMP,BARO,0,True,True,,,,False,True,user_visible False->True
BARO_OPTIONS,BARO,0,True,True,,,,False,True,user_visible False->True
BARO_PRIMARY,BARO,0,True,True,,,,False,True,user_visible False->True
BARO_PROBE_EXT,BARO,0,True,True,,,,False,True,user_visible False->True
BATT2_ARM_MAH,BATT,0,True,True,,,,False,True,user_visible False->True
BATT2_ARM_SOC,BATT,0,False,True,"Minimum SOC %% required to arm. 0=disabled. Not reset by reboot (uses the pack SOC estimate, unlike ARM_VOLT/ARM_MAH).",,,,,NEW ROW
